Date,Open,High,Low,Close,Adj Close,Volume

"Feb 20, 2025","96,628.40","98,722.29","96,481.41","98,347.95","98,347.95","31,327,236,096"
"Feb 19, 2025","95,532.53","96,855.59","95,011.97","96,635.61","96,635.61","28,990,872,862"
"Feb 18, 2025","95,773.81","96,695.38","93,388.84","95,539.55","95,539.55","37,325,720,482"
"Feb 17, 2025","96,179.01","97,032.23","95,243.55","95,773.38","95,773.38","27,336,550,690"
"Feb 16, 2025","97,580.49","97,725.59","96,060.98","96,175.03","96,175.03","16,536,755,396"
"Feb 15, 2025","97,508.38","97,975.04","97,240.20","97,580.35","97,580.35","17,047,266,288"
"Feb 14, 2025","96,623.37","98,819.47","96,342.80","97,508.97","97,508.97","32,697,987,277"
"Feb 13, 2025","97,888.75","98,111.09","95,269.71","96,623.87","96,623.87","37,147,280,860"
"Feb 12, 2025","95,745.70","98,151.02","94,101.20","97,885.86","97,885.86","49,340,445,530"
"Feb 11, 2025","97,438.13","98,492.90","94,875.04","95,747.43","95,747.43","37,488,783,272"
"Feb 10, 2025","96,499.46","98,333.22","95,320.84","97,437.55","97,437.55","40,078,962,391"
"Feb 9, 2025","96,481.31","97,325.28","94,745.26","96,500.09","96,500.09","27,732,901,800"
"Feb 8, 2025","96,533.26","96,877.80","95,702.49","96,482.45","96,482.45","22,447,526,395"
"Feb 7, 2025","96,581.32","100,154.14","95,653.88","96,529.09","96,529.09","55,741,290,456"
"Feb 6, 2025","96,610.64","99,168.61","95,707.35","96,593.30","96,593.30","45,302,471,947"
"Feb 5, 2025","97,878.01","99,113.21","96,174.83","96,615.45","96,615.45","49,125,911,241"
"Feb 4, 2025","101,398.72","101,745.62","96,208.11","97,871.82","97,871.82","73,002,130,211"
"Feb 3, 2025","97,681.10","102,514.17","91,242.89","101,405.42","101,405.42","115,400,897,748"
"Feb 2, 2025","100,661.54","101,430.66","96,216.08","97,688.98","97,688.98","63,091,816,853"
"Feb 1, 2025","102,402.80","102,755.73","100,297.71","100,655.91","100,655.91","27,757,944,848"
"Jan 31, 2025","104,737.56","106,026.35","101,543.88","102,405.02","102,405.02","45,732,764,360"
"Jan 30, 2025","103,709.34","106,418.77","103,321.65","104,735.30","104,735.30","41,915,744,521"
"Jan 29, 2025","101,317.52","104,750.80","101,283.82","103,703.21","103,703.21","47,432,049,818"
"Jan 28, 2025","102,095.41","103,730.82","100,238.19","101,332.48","101,332.48","47,180,685,494"
"Jan 27, 2025","102,680.30","103,214.11","97,795.94","102,087.69","102,087.69","89,006,608,428"
"Jan 26, 2025","104,713.21","105,438.65","102,507.71","102,682.50","102,682.50","22,543,395,879"
"Jan 25, 2025","104,824.03","105,243.79","104,120.38","104,714.65","104,714.65","23,888,996,502"
"Jan 24, 2025","103,965.67","107,098.55","102,772.13","104,819.48","104,819.48","52,388,229,265"
"Jan 23, 2025","103,657.67","106,820.33","101,257.80","103,960.17","103,960.17","104,104,515,428"
"Jan 22, 2025","106,136.38","106,294.34","103,360.27","103,653.07","103,653.07","53,878,181,052"
"Jan 21, 2025","102,052.58","107,180.92","100,103.95","106,146.27","106,146.27","88,733,878,242"
"Jan 20, 2025","101,083.75","109,114.88","99,471.36","102,016.66","102,016.66","126,279,678,351"
"Jan 19, 2025","104,411.29","106,299.80","99,570.53","101,089.61","101,089.61","76,789,928,525"
"Jan 18, 2025","104,124.95","104,913.20","102,226.62","104,408.07","104,408.07","50,445,655,726"
"Jan 17, 2025","100,025.77","105,884.23","99,948.91","104,462.04","104,462.04","71,888,972,663"
"Jan 16, 2025","100,505.30","100,781.59","97,364.45","99,756.91","99,756.91","54,103,781,805"
"Jan 15, 2025","96,534.05","100,697.23","96,501.64","100,504.49","100,504.49","57,805,923,627"
"Jan 14, 2025","94,519.01","97,352.66","94,322.16","96,534.05","96,534.05","53,769,675,818"
"Jan 13, 2025","94,488.89","95,837.00","89,260.10","94,516.52","94,516.52","72,978,998,252"
"Jan 12, 2025","94,565.73","95,367.54","93,712.51","94,488.44","94,488.44","20,885,130,965"
"Jan 11, 2025","94,700.84","94,977.69","93,840.05","94,566.59","94,566.59","18,860,894,100"
"Jan 10, 2025","92,494.49","95,770.61","92,250.09","94,701.45","94,701.45","62,058,693,684"
"Jan 9, 2025","95,043.48","95,349.72","91,220.84","92,484.04","92,484.04","62,777,261,693"
"Jan 8, 2025","96,924.16","97,258.32","92,525.84","95,043.52","95,043.52","63,875,859,171"
"Jan 7, 2025","102,248.85","102,712.48","96,132.88","96,922.70","96,922.70","58,685,738,547"
"Jan 6, 2025","98,314.95","102,482.88","97,926.15","102,078.09","102,078.09","51,823,432,705"
"Jan 5, 2025","98,233.91","98,813.30","97,291.77","98,314.96","98,314.96","20,525,254,825"
"Jan 4, 2025","98,106.99","98,734.43","97,562.98","98,236.23","98,236.23","22,342,608,078"
"Jan 3, 2025","96,881.73","98,956.91","96,034.62","98,107.43","98,107.43","35,611,391,163"
"Jan 2, 2025","94,416.29","97,739.82","94,201.57","96,886.88","96,886.88","46,009,564,411"
"Jan 1, 2025","93,425.10","94,929.87","92,788.13","94,419.76","94,419.76","24,519,888,919"
"Dec 31, 2024","92,643.25","96,090.60","91,914.03","93,429.20","93,429.20","43,625,106,843"
"Dec 30, 2024","93,527.20","94,903.32","91,317.13","92,643.21","92,643.21","56,188,003,691"
"Dec 29, 2024","95,174.05","95,174.88","92,881.79","93,530.23","93,530.23","29,635,885,267"
"Dec 28, 2024","94,160.19","95,525.90","94,014.29","95,163.93","95,163.93","24,107,436,185"
"Dec 27, 2024","95,704.98","97,294.84","93,310.74","94,164.86","94,164.86","52,419,934,565"
"Dec 26, 2024","99,297.70","99,884.57","95,137.88","95,795.52","95,795.52","47,054,980,873"
"Dec 25, 2024","98,675.91","99,478.75","97,593.47","99,299.20","99,299.20","33,700,394,629"
"Dec 24, 2024","94,684.34","99,404.06","93,448.02","98,676.09","98,676.09","47,114,953,674"
"Dec 23, 2024","95,099.39","96,416.21","92,403.13","94,686.24","94,686.24","65,239,002,919"
"Dec 22, 2024","97,218.32","97,360.27","94,202.19","95,104.94","95,104.94","43,147,981,314"
"Dec 21, 2024","97,756.20","99,507.10","96,426.52","97,224.73","97,224.73","51,765,334,294"
"Dec 20, 2024","97,484.70","98,098.91","92,175.18","97,755.93","97,755.93","105,634,083,408"
"Dec 19, 2024","100,070.69","102,748.15","95,587.68","97,490.95","97,490.95","97,221,662,392"
"Dec 18, 2024","106,147.30","106,470.61","100,041.54","100,041.54","100,041.54","93,865,656,139"
"Dec 17, 2024","106,030.69","108,268.45","105,291.73","106,140.60","106,140.60","68,589,364,868"
"Dec 16, 2024","104,293.58","107,780.58","103,322.98","106,029.72","106,029.72","91,020,417,816"
"Dec 15, 2024","101,373.53","105,047.54","101,227.03","104,298.70","104,298.70","51,145,914,137"
"Dec 14, 2024","101,451.44","102,618.88","100,634.05","101,372.97","101,372.97","40,422,968,793"
"Dec 13, 2024","100,046.65","101,888.80","99,233.28","101,459.26","101,459.26","56,894,751,583"
"Dec 12, 2024","101,167.80","102,524.91","99,339.95","100,043.00","100,043.00","72,073,983,533"
"Dec 11, 2024","96,656.06","101,913.36","95,747.23","101,173.03","101,173.03","85,391,409,936"
"Dec 10, 2024","97,441.23","98,270.16","94,321.26","96,675.43","96,675.43","104,823,780,634"
"Dec 9, 2024","101,237.06","101,272.51","94,355.91","97,432.72","97,432.72","110,676,473,908"
"Dec 8, 2024","99,921.91","101,399.99","98,771.52","101,236.02","101,236.02","44,125,751,925"
"Dec 7, 2024","99,916.71","100,563.38","99,030.88","99,923.34","99,923.34","44,177,510,897"
"Dec 6, 2024","97,074.23","102,039.88","96,514.88","99,920.71","99,920.71","94,534,772,658"
"Dec 5, 2024","98,741.54","103,900.47","91,998.78","96,593.57","96,593.57","149,218,945,580"
"Dec 4, 2024","95,988.53","99,207.33","94,660.52","98,768.53","98,768.53","77,199,817,112"
"Dec 3, 2024","95,854.59","96,297.20","93,629.56","96,002.16","96,002.16","67,067,810,961"
"Dec 2, 2024","97,276.01","98,152.60","94,482.87","95,865.30","95,865.30","72,680,784,305"
"Dec 1, 2024","96,461.34","97,888.13","95,770.19","97,279.79","97,279.79","36,590,695,296"
"Nov 30, 2024","97,468.81","97,499.34","96,144.22","96,449.05","96,449.05","31,634,227,866"
"Nov 29, 2024","95,653.95","98,693.17","95,407.88","97,461.52","97,461.52","54,968,682,476"
"Nov 28, 2024","95,954.95","96,650.20","94,677.35","95,652.47","95,652.47","52,260,008,261"
"Nov 27, 2024","91,978.14","97,361.18","91,778.66","95,962.53","95,962.53","71,133,452,438"
"Nov 26, 2024","93,087.28","94,991.75","90,770.81","91,985.32","91,985.32","91,656,519,855"
"Nov 25, 2024","98,033.45","98,935.03","92,642.91","93,102.30","93,102.30","80,909,462,490"
"Nov 24, 2024","97,778.09","98,647.18","95,788.08","98,013.82","98,013.82","51,712,020,623"
"Nov 23, 2024","99,006.74","99,014.68","97,232.89","97,777.28","97,777.28","44,414,644,677"
"Nov 22, 2024","98,496.43","99,655.50","97,222.66","98,997.66","98,997.66","78,473,580,551"
"Nov 21, 2024","94,334.64","99,014.22","94,132.60","98,504.73","98,504.73","106,024,505,582"
"Nov 20, 2024","92,341.89","94,902.02","91,619.50","94,339.49","94,339.49","71,730,956,426"
"Nov 19, 2024","90,536.81","94,002.87","90,426.98","92,343.79","92,343.79","74,521,048,295"
"Nov 18, 2024","89,843.72","92,596.79","89,393.59","90,542.64","90,542.64","75,535,775,084"
"Nov 17, 2024","90,558.46","91,433.04","88,741.66","89,845.85","89,845.85","46,350,159,305"
"Nov 16, 2024","91,064.37","91,763.95","90,094.23","90,558.48","90,558.48","44,333,192,814"
"Nov 15, 2024","87,284.18","91,868.74","87,124.90","91,066.01","91,066.01","78,243,109,518"
"Nov 14, 2024","90,574.88","91,765.22","86,682.81","87,250.43","87,250.43","87,616,705,248"
"Nov 13, 2024","87,929.97","93,434.35","86,256.93","90,584.16","90,584.16","123,559,027,869"
"Nov 12, 2024","88,705.56","89,956.88","85,155.11","87,955.81","87,955.81","133,673,285,375"
"Nov 11, 2024","80,471.41","89,604.50","80,283.25","88,701.48","88,701.48","117,966,845,037"
"Nov 10, 2024","76,775.55","81,474.42","76,565.43","80,474.19","80,474.19","82,570,594,495"
"Nov 9, 2024","76,556.19","76,932.77","75,773.79","76,778.87","76,778.87","29,009,480,361"
"Nov 8, 2024","75,902.84","77,252.75","75,648.74","76,545.48","76,545.48","55,176,858,003"
"Nov 7, 2024","75,637.09","76,943.12","74,480.42","75,904.86","75,904.86","63,467,654,989"
"Nov 6, 2024","69,358.50","76,460.16","69,322.03","75,639.08","75,639.08","118,592,653,963"
"Nov 5, 2024","67,811.17","70,522.79","67,458.87","69,359.56","69,359.56","46,046,889,204"
"Nov 4, 2024","68,742.13","69,433.18","66,803.65","67,811.51","67,811.51","41,184,819,348"
"Nov 3, 2024","69,296.38","69,361.66","67,482.52","68,741.12","68,741.12","34,868,307,655"
